Time,IR,Fold,Method,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
1,0.2,1,ADA_DSTree,0.95,0.75,0.8440971508067066,0.75,0.9166666666666666,0.75,0.85,"[[19  1]
 [ 1  3]]"
1,0.2,1,ADA_WSVM,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.5,"[[20  0]
 [ 4  0]]"
1,0.2,1,ImADA1_WSVM,0.95,0.5,0.689202437604511,0.5714285714285715,0.875,0.6666666666666666,0.7249999999999999,"[[19  1]
 [ 2  2]]"
1,0.2,1,ImADA2_WSVM,0.95,0.5,0.689202437604511,0.5714285714285715,0.875,0.6666666666666666,0.7249999999999999,"[[19  1]
 [ 2  2]]"
1,0.2,1,ImADA_12_WSVM,0.05,0.5,0.15811388300841897,0.16,0.125,0.09523809523809523,0.275,"[[ 1 19]
 [ 2  2]]"
1,0.2,2,ADA_DSTree,0.95,0.5,0.689202437604511,0.5714285714285715,0.875,0.6666666666666666,0.7249999999999999,"[[19  1]
 [ 2  2]]"
1,0.2,2,ADA_WSVM,1.0,0.5,0.7071067811865476,0.6666666666666666,0.9166666666666666,1.0,0.75,"[[20  0]
 [ 2  2]]"
1,0.2,2,ImADA1_WSVM,0.95,0.5,0.689202437604511,0.5714285714285715,0.875,0.6666666666666666,0.7249999999999999,"[[19  1]
 [ 2  2]]"
1,0.2,2,ImADA2_WSVM,0.95,0.5,0.689202437604511,0.5714285714285715,0.875,0.6666666666666666,0.7249999999999999,"[[19  1]
 [ 2  2]]"
1,0.2,2,ImADA_12_WSVM,0.05,0.5,0.15811388300841897,0.16,0.125,0.09523809523809523,0.275,"[[ 1 19]
 [ 2  2]]"
1,0.2,3,ADA_DSTree,1.0,0.25,0.5,0.4,0.875,1.0,0.625,"[[20  0]
 [ 3  1]]"
1,0.2,3,ADA_WSVM,0.8,0.25,0.4472135954999579,0.22222222222222224,0.7083333333333334,0.2,0.525,"[[16  4]
 [ 3  1]]"
1,0.2,3,ImADA1_WSVM,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.5,0.7000000000000001,"[[18  2]
 [ 2  2]]"
1,0.2,3,ImADA2_WSVM,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.5,0.7000000000000001,"[[18  2]
 [ 2  2]]"
1,0.2,3,ImADA_12_WSVM,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.5,0.7000000000000001,"[[18  2]
 [ 2  2]]"
1,0.2,4,ADA_DSTree,0.9,1.0,0.9486832980505138,0.8,0.9166666666666666,0.6666666666666666,0.9500000000000001,"[[18  2]
 [ 0  4]]"
1,0.2,4,ADA_WSVM,0.9,0.75,0.8215838362577492,0.6666666666666665,0.875,0.6,0.825,"[[18  2]
 [ 1  3]]"
1,0.2,4,ImADA1_WSVM,0.9,1.0,0.9486832980505138,0.8,0.9166666666666666,0.6666666666666666,0.9500000000000001,"[[18  2]
 [ 0  4]]"
1,0.2,4,ImADA2_WSVM,0.9,1.0,0.9486832980505138,0.8,0.9166666666666666,0.6666666666666666,0.9500000000000001,"[[18  2]
 [ 0  4]]"
1,0.2,4,ImADA_12_WSVM,0.1,0.0,0.0,0.0,0.08333333333333333,0.0,0.04999999999999999,"[[ 2 18]
 [ 4  0]]"
1,0.2,5,ADA_DSTree,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.5,0.7000000000000001,"[[18  2]
 [ 2  2]]"
1,0.2,5,ADA_WSVM,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.5,0.7000000000000001,"[[18  2]
 [ 2  2]]"
1,0.2,5,ImADA1_WSVM,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.5,0.7000000000000001,"[[18  2]
 [ 2  2]]"
1,0.2,5,ImADA2_WSVM,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.5,0.7000000000000001,"[[18  2]
 [ 2  2]]"
1,0.2,5,ImADA_12_WSVM,0.1,0.5,0.22360679774997896,0.16666666666666669,0.16666666666666666,0.1,0.3,"[[ 2 18]
 [ 2  2]]"
Time,IR,Fold,Method,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
