Test Size,Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan,List of err_w,List of alpha
0.2,Decision Tree,None,none,none,0.95,0.7,0.8154753215150045,0.717948717948718,0.7368421052631579,0.9083333333333333,0.825,"[[95  5]
 [ 6 14]]",None,None
0.2,SVM (lib),None,none,none,1.0,0.15,0.3872983346207417,0.2608695652173913,1.0,0.8583333333333333,0.575,"[[100   0]
 [ 17   3]]",None,None
0.2,ADA_DSTree,None,none,none,0.97,0.65,0.7940403012442127,0.7222222222222223,0.8125,0.9166666666666666,0.8099999999999999,"[[97  3]
 [ 7 13]]",None,None
0.2,ADA_SVM,None,none,none,1.0,0.1,0.31622776601683794,0.18181818181818182,1.0,0.85,0.55,"[[100   0]
 [ 18   2]]",None,None
0.2,WSVM,10,10,1,0.94,0.4,0.6131883886702356,0.47058823529411764,0.5714285714285714,0.85,0.6699999999999999,"[[94  6]
 [12  8]]",None,None
0.2,ADA_WSVM,10,10,1,0.77,0.65,0.7074602462329598,0.4642857142857143,0.3611111111111111,0.75,0.71,"[[77 23]
 [ 7 13]]","[0.14583333333333331, 0.49372822299651536, 0.48480925017764326, 0.4855576071705079, 0.4862576314277668, 0.48691384001142485, 0.49892251319214925, 0.49892483015479827, 0.49892713717431425, 0.49892943431456693]","[0.8838309588244974, 0.012544211939801776, 0.030390852559551377, 0.02889282283862016, 0.027491661038505172, 0.026178298363150162, 0.002154976951546127, 0.002150343004774765, 0.002145728944453325, 0.0021411346428404855]"
0.2,ImADA1_SVM,10,10,1,0.08,1.0,0.282842712474619,0.30303030303030304,0.17857142857142858,0.23333333333333334,0.54,"[[ 8 92]
 [ 0 20]]","[0.16666666666666669, 0.3762499999999999, 0.5242877782142357, 0.473892417122567, 0.5232906336835637, 0.4810603337806797, 0.4957545512896529, 0.515805452375511, 0.49973600243498667, 0.4999999999999998]","[0.8047189562170501, 0.25274791550132164, -0.048613816656339424, 0.05226269708571347, -0.04661500219967442, 0.03789746502708935, 0.008491101480897378, -0.03162144012636317, 0.0005279951790912959, 4.440892098500624e-16]"
0.2,ImADA2_SVM,10,10,1,0.17,0.65,0.33241540277189324,0.22413793103448273,0.13541666666666666,0.25,0.41000000000000003,"[[17 83]
 [ 7 13]]","[0.2686197916666666, 0.5309244163577697, 0.49704716543765654, 0.49830597012379907, 0.5002629835888138, 0.49995908194616145, 0.5000063642774817, 0.49999901006445946, 0.5000001539788403, 0.4999999760494357]","[0.5008182397305906, -0.06192787721058269, 0.00590573778332238, 0.003388072716279398, -0.0005259672261290854, 8.183610785976717e-05, -1.2728554964038275e-05, 1.9798710810512026e-06, -3.07957680714564e-07, 4.790112865613787e-08]"
0.2,ImADA_12_SVM,10,10,1,0.0,1.0,0.0,0.2857142857142857,0.16666666666666666,0.16666666666666666,0.5,"[[  0 100]
 [  0  20]]","[0.16666666666666669, 0.5555781249999998, 0.521727882329715, 0.4927584954492365, 0.4934522070834276, 0.5119590731664692, 0.4952069836066647, 0.49336889786174754, 0.5106456331766862, 0.4894766311485649]","[0.8047189562170501, -0.11161747901422368, -0.04348314970030413, 0.014484021869172714, 0.013096334516590128, -0.023922708912036194, 0.009586326429514319, 0.01326298190419993, -0.02129448446697142, 0.0210498461863157]"
0.2,ImADA1_WSVM,10,10,1,0.13,1.0,0.36055512754639896,0.31496062992125984,0.18691588785046728,0.275,0.565,"[[13 87]
 [ 0 20]]","[0.16666666666666669, 0.40124999999999994, 0.37579588837076217, 0.5264219260395034, 0.5264148789270426, 0.4958075476008255, 0.504157591391169, 0.4958766946465125, 0.5040895801778061, 0.495943597786366]","[0.8047189562170501, 0.20012973714044985, 0.25371563546874415, -0.05289312299614777, -0.052878989313829824, 0.00838510131143429, -0.008315374433811817, 0.008246797655889256, -0.008179342754567479, 0.008112982422724431]"
0.2,ImADA2_WSVM,10,10,1,0.58,0.85,0.7021395872616782,0.43037974683544306,0.288135593220339,0.625,0.7150000000000001,"[[58 42]
 [ 3 17]]","[0.2686197916666666, 0.668878629884909, 0.7164449785541863, 0.6878634788279991, 0.5805868127718987, 0.28473223503014994, 0.5180185297334823, 0.594958890260423, 0.3994940012139564, 0.4599660904070266]","[0.5008182397305906, -0.3515588191076732, -0.4634476344198555, -0.3950748631717567, -0.16259138858719685, 0.4605538783108881, -0.03605267171238963, -0.1922518718371788, 0.20378694088167834, 0.08023958143491215]"
0.2,ImADA_12_WSVM,10,10,1,0.0,1.0,0.0,0.2857142857142857,0.16666666666666666,0.16666666666666666,0.5,"[[  0 100]
 [  0  20]]","[0.16666666666666669, 0.59584375, 0.40385333427982134, 0.539225298591417, 0.45763401992718755, 0.55339506425088, 0.4552823844891356, 0.5054609243055079, 0.5047035643186122, 0.49949144210938173]","[0.8047189562170501, -0.1940884538246002, 0.19471747106368925, -0.07861213541630085, 0.08493561600288517, -0.10719887858999161, 0.08967483600657218, -0.010922282919474158, -0.009407406143656634, 0.0010171161319805636]"
0.2,WSVM,10,10,2,0.94,0.4,0.6131883886702356,0.47058823529411764,0.5714285714285714,0.85,0.6699999999999999,"[[94  6]
 [12  8]]",None,None
0.2,ADA_WSVM,10,10,2,0.77,0.65,0.7074602462329598,0.4642857142857143,0.3611111111111111,0.75,0.71,"[[77 23]
 [ 7 13]]","[0.14583333333333331, 0.49372822299651536, 0.48480925017764326, 0.4855576071705079, 0.4862576314277668, 0.48691384001142485, 0.49892251319214925, 0.49892483015479827, 0.49892713717431425, 0.49892943431456693]","[0.8838309588244974, 0.012544211939801776, 0.030390852559551377, 0.02889282283862016, 0.027491661038505172, 0.026178298363150162, 0.002154976951546127, 0.002150343004774765, 0.002145728944453325, 0.0021411346428404855]"
0.2,ImADA1_SVM,10,10,2,0.52,1.0,0.7211102550927979,0.45454545454545453,0.29411764705882354,0.6,0.76,"[[52 48]
 [ 0 20]]","[0.2682499999999999, 0.3965682811093553, 0.5158951916149664, 0.4913699567914558, 0.5094944378751546, 0.4859037229098003, 0.4986372634948035, 0.4999999999999999, 0.5, 0.5]","[0.501759772030594, 0.20989232821290352, -0.03180109915065055, 0.017261800710992366, -0.018991158564038133, 0.02820002708083996, 0.0027254797588788207, 2.2204460492503126e-16, 0.0, 0.0]"
0.2,ImADA2_SVM,10,10,2,0.17,0.65,0.33241540277189324,0.22413793103448273,0.13541666666666666,0.25,0.41000000000000003,"[[17 83]
 [ 7 13]]","[0.2686197916666666, 0.5309244163577697, 0.49704716543765654, 0.49830597012379907, 0.5002629835888138, 0.49995908194616145, 0.5000063642774817, 0.49999901006445946, 0.5000001539788403, 0.4999999760494357]","[0.5008182397305906, -0.06192787721058269, 0.00590573778332238, 0.003388072716279398, -0.0005259672261290854, 8.183610785976717e-05, -1.2728554964038275e-05, 1.9798710810512026e-06, -3.07957680714564e-07, 4.790112865613787e-08]"
0.2,ImADA_12_SVM,10,10,2,0.1,1.0,0.31622776601683794,0.3076923076923077,0.18181818181818182,0.25,0.55,"[[10 90]
 [ 0 20]]","[0.2746528124999999, 0.6037799056787037, 0.46142060926890066, 0.5041959327082832, 0.49952277099202125, 0.5000540061322386, 0.4999938848572465, 0.5000006923761962, 0.4999999216063605, 0.5000000088760383]","[0.4855713097484374, -0.21061994317815247, 0.0773124517850969, -0.008392062419470115, 0.0009544583057915842, -0.00010801226489726236, 1.2230285507586055e-05, -1.384752392324007e-06, 1.567872791133623e-07, -1.775207667958853e-08]"
