Test Size,Method,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan,List of err_w,List of alpha
0.2,Decision Tree,0.55,0.98,0.734166194,0.946859903,0.908333333,0.91588785,0.765,"[[11  9]
 [ 2 98]]",None,None
0.2,SVM (lib),0.2,1,0.447213595,0.925925926,0.866666667,0.862068966,0.6,"[[  4  16]
 [  0 100]]",None,None
0.2,WSVM,0.25,0.91,0.476969601,0.883495146,0.8,0.858490566,0.58,"[[ 5 15]
 [ 9 91]]",None,None
0.2,ADA_DSTree,0.55,0.99,0.737902433,0.951923077,0.916666667,0.916666667,0.77,"[[11  9]
 [ 1 99]]",None,None
0.2,ADA_SVM,0.25,1,0.5,0.930232558,0.875,0.869565217,0.625,"[[  5  15]
 [  0 100]]",None,None
0.2,ADA_WSVM,0.25,0.94,0.484767986,0.899521531,0.825,0.862385321,0.595,"[[ 5 15]
 [ 6 94]]","[0.15208333333333338, 0.39056241795967817, 0.333897411452055, 0.4146092043443583, 0.5000000000000001, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.8591768721471018, 0.22247436878967414, 0.34530495054089677, 0.17247162533334326, -2.2204460492503136e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.2,ImADA1_SVM,0.9,0.64,0.758946638,0.771084337,0.683333333,0.96969697,0.77,"[[18  2]
 [36 64]]","[0.13875, 0.5778361816097667, 0.4625560471435585, 0.46983889470751394, 0.5356469471721199, 0.4623940174678723, 0.5394114870068005, 0.47194158994796903, 0.4991293622308932, 0.49656347440972065, 0.49999999999999994, 0.5, 0.5000000000000001, 0.49999999999999983, 0.5000000000000002, 0.49999999999999983, 0.5000000000000002, 0.49999999999999983, 0.5000000000000002, 0.49999999999999983]","[0.9128555348506622, -0.156948485867406, 0.07502837409298145, 0.06039553694071356, -0.07141505539233849, 0.07535426904826037, -0.07898682926234624, 0.05617583743432814, 0.0017412772980894553, 0.006873159408597416, 1.1102230246251564e-16, 0.0, -2.2204460492503136e-16, 4.440892098500624e-16, -4.440892098500628e-16, 4.440892098500624e-16, -4.440892098500628e-16, 4.440892098500624e-16, -4.440892098500628e-16, 4.440892098500624e-16]"
0.2,ImADA2_SVM,0.35,0.93,0.570526073,0.902912621,0.833333333,0.877358491,0.64,"[[ 7 13]
 [ 7 93]]","[0.18917968750000003, 0.3543255541945876, 0.4319837894324483, 0.6102263419660804, 0.4830506971049711, 0.5022341349317785, 0.4996991959261661, 0.5000403854122647, 0.49999457585776197, 0.5000007284761876, 0.4999999021631098, 0.5000000131398229, 0.49999999823527763, 0.5000000002370082, 0.4999999999681689, 0.500000000004275, 0.4999999999994259, 0.5000000000000772, 0.49999999999998956, 0.5000000000000014]","[0.7276745878818457, 0.30003964387817955, 0.1368809474836906, -0.22413186705806531, 0.03391159922063219, -0.004468299600897881, 0.0006016082202483934, -8.077082470502975e-05, 1.0848284476461546e-05, -1.4569523752067518e-06, 1.9567378030441213e-07, -2.6279645817312004e-08, 3.529444724015007e-09, -4.740163819265499e-10, 6.366218662939793e-11, -8.55004955731636e-12, 1.1481926520660186e-12, -1.5432100042292056e-13, 2.0872192862952508e-14, -2.8865798640254153e-15]"
0.2,ImADA_12_SVM,0.75,0.63,0.687386354,0.75,0.65,0.926470588,0.69,"[[15  5]
 [37 63]]","[0.20442031250000003, 0.569434167678484, 0.5124622441950792, 0.5174619144600566, 0.46815482019783017, 0.5133277422788534, 0.5163017812153988, 0.47267936260929494, 0.5102079858844082, 0.5152861632896871, 0.4743575697252128, 0.5097005376389396, 0.5143918026818821, 0.48336345241988454, 0.508915052345387, 0.5027031947087487, 0.4931426336548643, 0.5109206305234635, 0.48537322208119166, 0.5073893828379336]","[0.6794463929964956, -0.13977147335990542, -0.024929651595802214, -0.034938037879758924, 0.06377668898958423, -0.026661800289644592, -0.03261512224958205, 0.05469575265827092, -0.020418809018426503, -0.03058185690769919, 0.05132989370540086, -0.01940351002714992, -0.02879155835092167, 0.03328538219162984, -0.01783199452311279, -0.005406442092957142, 0.013715592673147918, -0.021844735098043397, 0.029261904901952206, -0.01477984176972674]"
0.2,ImADA1_WSVM,0.3,0.93,0.528204506,0.898550725,0.825,0.869158879,0.615,"[[ 6 14]
 [ 7 93]]","[0.13875, 0.33852212154098943, 0.6494589413412253, 0.4596015535982052, 0.5025547893767324, 0.47862324217005664, 0.4990120156192066, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001]","[0.9128555348506622, 0.3349435498119003, -0.30833088779864865, 0.08097340244102597, -0.0051096232207728945, 0.042779593457094256, 0.001975971333284907, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16]"
