Time,Fold,Method,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
1,1,ADA_DSTree,0.9615384615384616,0.6875,0.8130545444849886,0.7586206896551724,0.8970588235294118,0.8461538461538461,0.8245192307692308,"[[50  2]
 [ 5 11]]"
1,1,ADA_WSVM,0.9615384615384616,0.8125,0.8838834764831844,0.8387096774193549,0.9264705882352942,0.8666666666666667,0.8870192307692308,"[[50  2]
 [ 3 13]]"
1,1,ImADA1_WSVM,0.9615384615384616,0.8125,0.8838834764831844,0.8387096774193549,0.9264705882352942,0.8666666666666667,0.8870192307692308,"[[50  2]
 [ 3 13]]"
1,1,ImADA2_WSVM,0.9615384615384616,0.8125,0.8838834764831844,0.8387096774193549,0.9264705882352942,0.8666666666666667,0.8870192307692308,"[[50  2]
 [ 3 13]]"
1,1,ImADA_12_WSVM,0.9615384615384616,0.8125,0.8838834764831844,0.8387096774193549,0.9264705882352942,0.8666666666666667,0.8870192307692308,"[[50  2]
 [ 3 13]]"
1,2,ADA_DSTree,0.9615384615384616,0.7333333333333333,0.8397191227596315,0.7857142857142856,0.9104477611940298,0.8461538461538461,0.8474358974358974,"[[50  2]
 [ 4 11]]"
1,2,ADA_WSVM,0.9807692307692307,0.7333333333333333,0.848074742714797,0.8148148148148148,0.9253731343283582,0.9166666666666666,0.857051282051282,"[[51  1]
 [ 4 11]]"
1,2,ImADA1_WSVM,0.9615384615384616,0.7333333333333333,0.8397191227596315,0.7857142857142856,0.9104477611940298,0.8461538461538461,0.8474358974358974,"[[50  2]
 [ 4 11]]"
1,2,ImADA2_WSVM,0.9615384615384616,0.7333333333333333,0.8397191227596315,0.7857142857142856,0.9104477611940298,0.8461538461538461,0.8474358974358974,"[[50  2]
 [ 4 11]]"
1,2,ImADA_12_WSVM,0.9615384615384616,0.7333333333333333,0.8397191227596315,0.7857142857142856,0.9104477611940298,0.8461538461538461,0.8474358974358974,"[[50  2]
 [ 4 11]]"
1,3,ADA_DSTree,0.9615384615384616,0.7333333333333333,0.8397191227596315,0.7857142857142856,0.9104477611940298,0.8461538461538461,0.8474358974358974,"[[50  2]
 [ 4 11]]"
1,3,ADA_WSVM,0.9423076923076923,0.6666666666666666,0.792593923901217,0.7142857142857142,0.8805970149253731,0.7692307692307693,0.8044871794871794,"[[49  3]
 [ 5 10]]"
1,3,ImADA1_WSVM,0.9230769230769231,0.6666666666666666,0.7844645405527362,0.689655172413793,0.8656716417910447,0.7142857142857143,0.7948717948717948,"[[48  4]
 [ 5 10]]"
1,3,ImADA2_WSVM,0.9230769230769231,0.6666666666666666,0.7844645405527362,0.689655172413793,0.8656716417910447,0.7142857142857143,0.7948717948717948,"[[48  4]
 [ 5 10]]"
1,3,ImADA_12_WSVM,0.9230769230769231,0.6666666666666666,0.7844645405527362,0.689655172413793,0.8656716417910447,0.7142857142857143,0.7948717948717948,"[[48  4]
 [ 5 10]]"
1,4,ADA_DSTree,0.9038461538461539,1.0,0.9507082380237135,0.8571428571428571,0.9253731343283582,0.75,0.951923076923077,"[[47  5]
 [ 0 15]]"
1,4,ADA_WSVM,0.9038461538461539,0.9333333333333333,0.918471416860505,0.8235294117647058,0.9104477611940298,0.7368421052631579,0.9185897435897435,"[[47  5]
 [ 1 14]]"
1,4,ImADA1_WSVM,0.9038461538461539,0.9333333333333333,0.918471416860505,0.8235294117647058,0.9104477611940298,0.7368421052631579,0.9185897435897435,"[[47  5]
 [ 1 14]]"
1,4,ImADA2_WSVM,0.9038461538461539,0.9333333333333333,0.918471416860505,0.8235294117647058,0.9104477611940298,0.7368421052631579,0.9185897435897435,"[[47  5]
 [ 1 14]]"
1,4,ImADA_12_WSVM,0.9038461538461539,0.9333333333333333,0.918471416860505,0.8235294117647058,0.9104477611940298,0.7368421052631579,0.9185897435897435,"[[47  5]
 [ 1 14]]"
1,5,ADA_DSTree,0.9019607843137255,0.875,0.8883781212268286,0.7999999999999999,0.8955223880597015,0.7368421052631579,0.8884803921568627,"[[46  5]
 [ 2 14]]"
1,5,ADA_WSVM,0.9019607843137255,0.625,0.7508165489625801,0.6451612903225806,0.835820895522388,0.6666666666666666,0.7634803921568628,"[[46  5]
 [ 6 10]]"
1,5,ImADA1_WSVM,0.9019607843137255,0.625,0.7508165489625801,0.6451612903225806,0.835820895522388,0.6666666666666666,0.7634803921568628,"[[46  5]
 [ 6 10]]"
1,5,ImADA2_WSVM,0.9019607843137255,0.625,0.7508165489625801,0.6451612903225806,0.835820895522388,0.6666666666666666,0.7634803921568628,"[[46  5]
 [ 6 10]]"
1,5,ImADA_12_WSVM,0.9019607843137255,0.625,0.7508165489625801,0.6451612903225806,0.835820895522388,0.6666666666666666,0.7634803921568628,"[[46  5]
 [ 6 10]]"
Time,Fold,Method,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
2,1,ADA_DSTree,0.8076923076923077,0.75,0.7783117824941563,0.631578947368421,0.7941176470588235,0.5454545454545454,0.7788461538461539,"[[42 10]
 [ 4 12]]"
2,1,ADA_WSVM,0.8846153846153846,0.625,0.7435621126608156,0.625,0.8235294117647058,0.625,0.7548076923076923,"[[46  6]
 [ 6 10]]"
2,1,ImADA1_WSVM,0.8653846153846154,0.625,0.7354355067681901,0.6060606060606061,0.8088235294117647,0.5882352941176471,0.7451923076923077,"[[45  7]
 [ 6 10]]"
2,1,ImADA2_WSVM,0.8653846153846154,0.625,0.7354355067681901,0.6060606060606061,0.8088235294117647,0.5882352941176471,0.7451923076923077,"[[45  7]
 [ 6 10]]"
2,1,ImADA_12_WSVM,0.8653846153846154,0.625,0.7354355067681901,0.6060606060606061,0.8088235294117647,0.5882352941176471,0.7451923076923077,"[[45  7]
 [ 6 10]]"
2,2,ADA_DSTree,0.8846153846153846,0.9333333333333333,0.9086479107118585,0.8,0.8955223880597015,0.7,0.908974358974359,"[[46  6]
 [ 1 14]]"
2,2,ADA_WSVM,0.9423076923076923,0.8666666666666667,0.9036961141150639,0.8387096774193549,0.9253731343283582,0.8125,0.9044871794871795,"[[49  3]
 [ 2 13]]"
2,2,ImADA1_WSVM,0.9230769230769231,0.8666666666666667,0.8944271909999159,0.8125,0.9104477611940298,0.7647058823529411,0.8948717948717949,"[[48  4]
 [ 2 13]]"
2,2,ImADA2_WSVM,0.9230769230769231,0.8666666666666667,0.8944271909999159,0.8125,0.9104477611940298,0.7647058823529411,0.8948717948717949,"[[48  4]
 [ 2 13]]"
2,2,ImADA_12_WSVM,0.9230769230769231,0.8666666666666667,0.8944271909999159,0.8125,0.9104477611940298,0.7647058823529411,0.8948717948717949,"[[48  4]
 [ 2 13]]"
2,3,ADA_DSTree,0.9807692307692307,0.8,0.8857851797221404,0.8571428571428571,0.9402985074626866,0.9230769230769231,0.8903846153846153,"[[51  1]
 [ 3 12]]"
2,3,ADA_WSVM,0.9615384615384616,0.7333333333333333,0.8397191227596315,0.7857142857142856,0.9104477611940298,0.8461538461538461,0.8474358974358974,"[[50  2]
 [ 4 11]]"
2,3,ImADA1_WSVM,0.9423076923076923,0.7333333333333333,0.8312795203934962,0.7586206896551724,0.8955223880597015,0.7857142857142857,0.8378205128205128,"[[49  3]
 [ 4 11]]"
2,3,ImADA2_WSVM,0.9423076923076923,0.7333333333333333,0.8312795203934962,0.7586206896551724,0.8955223880597015,0.7857142857142857,0.8378205128205128,"[[49  3]
 [ 4 11]]"
2,3,ImADA_12_WSVM,0.9423076923076923,0.7333333333333333,0.8312795203934962,0.7586206896551724,0.8955223880597015,0.7857142857142857,0.8378205128205128,"[[49  3]
 [ 4 11]]"
2,4,ADA_DSTree,0.9807692307692307,0.7333333333333333,0.848074742714797,0.8148148148148148,0.9253731343283582,0.9166666666666666,0.857051282051282,"[[51  1]
 [ 4 11]]"
2,4,ADA_WSVM,0.9615384615384616,0.6666666666666666,0.8006407690254357,0.7407407407407408,0.8955223880597015,0.8333333333333334,0.814102564102564,"[[50  2]
 [ 5 10]]"
2,4,ImADA1_WSVM,0.9615384615384616,0.7333333333333333,0.8397191227596315,0.7857142857142856,0.9104477611940298,0.8461538461538461,0.8474358974358974,"[[50  2]
 [ 4 11]]"
2,4,ImADA2_WSVM,0.9615384615384616,0.7333333333333333,0.8397191227596315,0.7857142857142856,0.9104477611940298,0.8461538461538461,0.8474358974358974,"[[50  2]
 [ 4 11]]"
2,4,ImADA_12_WSVM,0.9615384615384616,0.7333333333333333,0.8397191227596315,0.7857142857142856,0.9104477611940298,0.8461538461538461,0.8474358974358974,"[[50  2]
 [ 4 11]]"
2,5,ADA_DSTree,0.9411764705882353,0.8125,0.8744746321952062,0.8125,0.9104477611940298,0.8125,0.8768382352941176,"[[48  3]
 [ 3 13]]"
2,5,ADA_WSVM,0.9411764705882353,0.875,0.9074852129730301,0.8484848484848485,0.9253731343283582,0.8235294117647058,0.9080882352941176,"[[48  3]
 [ 2 14]]"
2,5,ImADA1_WSVM,0.9411764705882353,0.875,0.9074852129730301,0.8484848484848485,0.9253731343283582,0.8235294117647058,0.9080882352941176,"[[48  3]
 [ 2 14]]"
2,5,ImADA2_WSVM,0.9411764705882353,0.875,0.9074852129730301,0.8484848484848485,0.9253731343283582,0.8235294117647058,0.9080882352941176,"[[48  3]
 [ 2 14]]"
2,5,ImADA_12_WSVM,0.9411764705882353,0.875,0.9074852129730301,0.8484848484848485,0.9253731343283582,0.8235294117647058,0.9080882352941176,"[[48  3]
 [ 2 14]]"
Time,Fold,Method,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
3,1,ADA_DSTree,0.9615384615384616,0.8125,0.8838834764831844,0.8387096774193549,0.9264705882352942,0.8666666666666667,0.8870192307692308,"[[50  2]
 [ 3 13]]"
3,1,ADA_WSVM,0.9807692307692307,0.75,0.8576578123452984,0.8275862068965517,0.9264705882352942,0.9230769230769231,0.8653846153846153,"[[51  1]
 [ 4 12]]"
3,1,ImADA1_WSVM,0.9807692307692307,0.6875,0.8211448387183872,0.7857142857142857,0.9117647058823529,0.9166666666666666,0.8341346153846153,"[[51  1]
 [ 5 11]]"
3,1,ImADA2_WSVM,0.9807692307692307,0.6875,0.8211448387183872,0.7857142857142857,0.9117647058823529,0.9166666666666666,0.8341346153846153,"[[51  1]
 [ 5 11]]"
3,1,ImADA_12_WSVM,0.9807692307692307,0.6875,0.8211448387183872,0.7857142857142857,0.9117647058823529,0.9166666666666666,0.8341346153846153,"[[51  1]
 [ 5 11]]"
3,2,ADA_DSTree,0.9038461538461539,0.7333333333333333,0.8141378954578351,0.7096774193548386,0.8656716417910447,0.6875,0.8185897435897436,"[[47  5]
 [ 4 11]]"
3,2,ADA_WSVM,0.9038461538461539,0.8,0.8503392987960295,0.7500000000000001,0.8805970149253731,0.7058823529411765,0.8519230769230769,"[[47  5]
 [ 3 12]]"
3,2,ImADA1_WSVM,0.8846153846153846,0.8,0.8412444993533733,0.7272727272727272,0.8656716417910447,0.6666666666666666,0.8423076923076922,"[[46  6]
 [ 3 12]]"
3,2,ImADA2_WSVM,0.8846153846153846,0.8,0.8412444993533733,0.7272727272727272,0.8656716417910447,0.6666666666666666,0.8423076923076922,"[[46  6]
 [ 3 12]]"
3,2,ImADA_12_WSVM,0.8846153846153846,0.8,0.8412444993533733,0.7272727272727272,0.8656716417910447,0.6666666666666666,0.8423076923076922,"[[46  6]
 [ 3 12]]"
3,3,ADA_DSTree,0.8653846153846154,0.8666666666666667,0.8660254037844386,0.7428571428571429,0.8656716417910447,0.65,0.8660256410256411,"[[45  7]
 [ 2 13]]"
3,3,ADA_WSVM,0.9230769230769231,0.8,0.8593378488473195,0.7741935483870969,0.8955223880597015,0.75,0.8615384615384616,"[[48  4]
 [ 3 12]]"
3,3,ImADA1_WSVM,0.9038461538461539,0.8,0.8503392987960295,0.7500000000000001,0.8805970149253731,0.7058823529411765,0.8519230769230769,"[[47  5]
 [ 3 12]]"
3,3,ImADA2_WSVM,0.9038461538461539,0.8,0.8503392987960295,0.7500000000000001,0.8805970149253731,0.7058823529411765,0.8519230769230769,"[[47  5]
 [ 3 12]]"
3,3,ImADA_12_WSVM,0.9038461538461539,0.8,0.8503392987960295,0.7500000000000001,0.8805970149253731,0.7058823529411765,0.8519230769230769,"[[47  5]
 [ 3 12]]"
3,4,ADA_DSTree,0.9038461538461539,0.7333333333333333,0.8141378954578351,0.7096774193548386,0.8656716417910447,0.6875,0.8185897435897436,"[[47  5]
 [ 4 11]]"
3,4,ADA_WSVM,0.9423076923076923,0.8666666666666667,0.9036961141150639,0.8387096774193549,0.9253731343283582,0.8125,0.9044871794871795,"[[49  3]
 [ 2 13]]"
3,4,ImADA1_WSVM,0.9230769230769231,0.8666666666666667,0.8944271909999159,0.8125,0.9104477611940298,0.7647058823529411,0.8948717948717949,"[[48  4]
 [ 2 13]]"
3,4,ImADA2_WSVM,0.9230769230769231,0.8666666666666667,0.8944271909999159,0.8125,0.9104477611940298,0.7647058823529411,0.8948717948717949,"[[48  4]
 [ 2 13]]"
3,4,ImADA_12_WSVM,0.9230769230769231,0.8666666666666667,0.8944271909999159,0.8125,0.9104477611940298,0.7647058823529411,0.8948717948717949,"[[48  4]
 [ 2 13]]"
3,5,ADA_DSTree,0.9215686274509803,0.625,0.7589337205295748,0.6666666666666666,0.8507462686567164,0.7142857142857143,0.7732843137254902,"[[47  4]
 [ 6 10]]"
3,5,ADA_WSVM,0.9411764705882353,0.5625,0.7276068751089989,0.6428571428571429,0.8507462686567164,0.75,0.7518382352941176,"[[48  3]
 [ 7  9]]"
3,5,ImADA1_WSVM,0.9607843137254902,0.5625,0.7351470441147051,0.6666666666666666,0.8656716417910447,0.8181818181818182,0.7616421568627451,"[[49  2]
 [ 7  9]]"
3,5,ImADA2_WSVM,0.9607843137254902,0.5625,0.7351470441147051,0.6666666666666666,0.8656716417910447,0.8181818181818182,0.7616421568627451,"[[49  2]
 [ 7  9]]"
3,5,ImADA_12_WSVM,0.9607843137254902,0.5625,0.7351470441147051,0.6666666666666666,0.8656716417910447,0.8181818181818182,0.7616421568627451,"[[49  2]
 [ 7  9]]"
Time,Fold,Method,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
4,1,ADA_DSTree,0.9615384615384616,0.6875,0.8130545444849886,0.7586206896551724,0.8970588235294118,0.8461538461538461,0.8245192307692308,"[[50  2]
 [ 5 11]]"
4,1,ADA_WSVM,0.9807692307692307,0.625,0.7829308840700877,0.7407407407407406,0.8970588235294118,0.9090909090909091,0.8028846153846154,"[[51  1]
 [ 6 10]]"
4,1,ImADA1_WSVM,0.9423076923076923,0.6875,0.8048829346318248,0.7333333333333334,0.8823529411764706,0.7857142857142857,0.8149038461538461,"[[49  3]
 [ 5 11]]"
4,1,ImADA2_WSVM,0.9423076923076923,0.6875,0.8048829346318248,0.7333333333333334,0.8823529411764706,0.7857142857142857,0.8149038461538461,"[[49  3]
 [ 5 11]]"
