Test Size,Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan,List of err_w,List of alpha
0.2,Decision Tree,None,none,none,0.9230769230769231,0.6875,0.7966275068156915,0.7096774193548386,0.7333333333333333,0.8676470588235294,0.8052884615384616,"[[48  4]
 [ 5 11]]",None,None
0.2,SVM (lib),None,none,none,0.9615384615384616,0.75,0.8492077756084468,0.7999999999999999,0.8571428571428571,0.9117647058823529,0.8557692307692307,"[[50  2]
 [ 4 12]]",None,None
0.2,ADA_DSTree,None,none,none,0.9230769230769231,0.75,0.8320502943378437,0.75,0.75,0.8823529411764706,0.8365384615384616,"[[48  4]
 [ 4 12]]",None,None
0.2,ADA_SVM,None,none,none,1.0,0.625,0.7905694150420949,0.7692307692307693,1.0,0.9117647058823529,0.8125,"[[52  0]
 [ 6 10]]",None,None
0.2,WSVM,10,10,0.3,0.9615384615384616,0.75,0.8492077756084468,0.7999999999999999,0.8571428571428571,0.9117647058823529,0.8557692307692307,"[[50  2]
 [ 4 12]]",None,None
0.2,ADA_WSVM,10,10,0.3,0.9230769230769231,0.6875,0.7966275068156915,0.7096774193548386,0.7333333333333333,0.8676470588235294,0.8052884615384616,"[[48  4]
 [ 5 11]]","[0.11194029850746269, 0.38781512605042023, 0.5536278579914451, 0.5687320794482466, 0.4016987058379344, 0.5422701084333141, 0.2626149797781216, 0.6038803070833624, 0.49345647986452656, 0.5]","[1.0355366460046598, 0.2282527858461762, -0.1076698606643777, -0.13833996936076154, 0.19919607190597283, -0.0847424893050864, 0.5162105834717949, -0.21082979539595798, 0.013087787489581351, 0.0]"
0.2,ImADA_1_DecisionTree,0.9230769230769231,0.5625,0.7205766921228921,0.6206896551724138,0.6923076923076923,0.8382352941176471,0.7427884615384616,"[[48  4]
 [ 7  9]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0.2,ImADA_2_DecisionTree,0.9615384615384616,0.75,0.8492077756084468,0.7999999999999999,0.8571428571428571,0.9117647058823529,0.8557692307692307,"[[50  2]
 [ 4 12]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0.2,ImADA_12_DecisionTree,0.9230769230769231,0.6875,0.7966275068156915,0.7096774193548386,0.7333333333333333,0.8676470588235294,0.8052884615384616,"[[48  4]
 [ 5 11]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0.2,ImADA1_SVM,10,10,0.3,0.8461538461538461,1.0,0.9198662110077999,0.8,0.6666666666666666,0.8823529411764706,0.9230769230769231,"[[44  8]
 [ 0 16]]","[0.04971782267998925, 0.1866106364152726, 0.452225081332271, 0.47640983472950243, 0.4999999999999999, 0.5, 0.5, 0.5, 0.5, 0.5]","[1.4751977475989586, 0.7360928144786553, 0.09584222338970458, 0.04721538491838472, 2.2204460492503126e-16, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.2,ImADA2_SVM,10,10,0.3,0.9615384615384616,0.6875,0.8130545444849886,0.7586206896551724,0.8461538461538461,0.8970588235294118,0.8245192307692308,"[[50  2]
 [ 5 11]]","[0.16827244375139228, 0.44536833497571926, 0.5173667431115619, 0.5200244226243036, 0.47767171509369377, 0.5212706098101655, 0.49829471692312843, 0.5001336984152599, 0.4999894992555405, 0.5000008246201436]","[0.7989602879408774, 0.10970128397851775, -0.034747464009342505, -0.04007027745879705, 0.04468629022982551, -0.04256691058956699, 0.003410579377693467, -0.0002673968368928588, 2.1001488922170248e-05, -1.6492402872266514e-06]"
0.2,ImADA_12_SVM,10,10,0.3,0.7115384615384616,1.0,0.8435273922869734,0.6808510638297872,0.5161290322580645,0.7794117647058824,0.8557692307692308,"[[37 15]
 [ 0 16]]","[0.04971782267998926, 0.28376711430975043, 0.4738400632491399, 0.502110467794667, 0.4998250584889846, 0.5000144689935796, 0.4999988030832595, 0.5000000990108814, 0.49999999180965005, 0.5000000006775195]","[1.4751977475989586, 0.46292574584722307, 0.05236769166668924, -0.004220960656749591, 0.0003498830363081197, -2.8937987167255398e-05, 2.393833480964128e-06, -1.9802176278680658e-07, 1.6380699861331644e-08, -1.3550389717551952e-09]"
0.2,ImADA1_WSVM,10,10,0.3,0.8653846153846154,0.9375,0.9007208651536152,0.7894736842105263,0.6818181818181818,0.8823529411764706,0.9014423076923077,"[[45  7]
 [ 1 15]]","[0.04971782267998925, 0.17491619597763752, 0.3691935393021144, 0.5510157880977204, 0.4327864375539237, 0.5273084752388011, 0.4767912138341546, 0.525272024628264, 0.4891389838140293, 0.5]","[1.4751977475989586, 0.775588991356432, 0.2678390469063799, -0.10238786897721167, 0.13524574781748708, -0.05467135554518259, 0.04645095245616157, -0.05058715699523822, 0.02172544982919736, 0.0]"
0.2,ImADA2_WSVM,10,10,0.3,0.9038461538461539,0.6875,0.7882856276561375,0.6875,0.6875,0.8529411764705882,0.7956730769230769,"[[47  5]
 [ 5 11]]","[0.16827244375139228, 0.4261528810173745, 0.6569952916471815, 0.5601596146856791, 0.2598949775377321, 0.43974686308667255, 0.6527777331211133, 0.5408241275396559, 0.7118052450675306, 0.6514541366159758]","[0.7989602879408774, 0.14878243004575442, -0.3249663389842061, -0.12090493444594475, 0.5232572407544487, 0.1210947308030034, -0.3156357899102304, -0.08183041859675506, -0.4520839288942233, -0.3127185868484072]"
0.2,ImADA_12_WSVM,10,10,0.3,0.7884615384615384,1.0,0.8879535677396304,0.7441860465116279,0.5925925925925926,0.8382352941176471,0.8942307692307692,"[[41 11]
 [ 0 16]]","[0.04971782267998926, 0.2668993108609573, 0.4352754486352307, 0.5237154434252501, 0.49810442272977207, 0.3820708094663354, 0.4980395591459383, 0.6179480757940092, 0.5149972673738845, 0.4129807588472789]","[1.4751977475989586, 0.5052057919341317, 0.13017952330789803, -0.04746650318685318, 0.0037911727038478097, 0.24038395797244153, 0.003920901800623107, -0.24042395378346063, -0.03000353468863531, 0.17582829747887216]"
0.2,WSVM,10,10,0.5,0.9615384615384616,0.75,0.8492077756084468,0.7999999999999999,0.8571428571428571,0.9117647058823529,0.8557692307692307,"[[50  2]
 [ 4 12]]",None,None
