Test Size,Name Method,Name Function,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
0.2,Decision Tree,Decision Tree,0.9615384615384616,0.75,0.8492077756084468,0.7999999999999999,0.8571428571428571,0.9117647058823529,0.8557692307692307,"[[50  2]
 [ 4 12]]"
0.2,SVM (lib),SVM (lib),0.9615384615384616,0.75,0.8492077756084468,0.7999999999999999,0.8571428571428571,0.9117647058823529,0.8557692307692307,"[[50  2]
 [ 4 12]]"
0.2,WSVM,WSVM,0.9615384615384616,0.75,0.8492077756084468,0.7999999999999999,0.8571428571428571,0.9117647058823529,0.8557692307692307,"[[50  2]
 [ 4 12]]"
0.2,ADA_DSTree,ADA_DSTree,0.9230769230769231,0.75,0.8320502943378437,0.75,0.75,0.8823529411764706,0.8365384615384616,"[[48  4]
 [ 4 12]]"
0.2,ADA_SVM,ADA_SVM,1.0,0.625,0.7905694150420949,0.7692307692307693,1.0,0.9117647058823529,0.8125,"[[52  0]
 [ 6 10]]"
0.2,ADA_WSVM,ADA_WSVM,0.9615384615384616,0.8125,0.8838834764831844,0.8387096774193549,0.8666666666666667,0.9264705882352942,0.8870192307692308,"[[50  2]
 [ 3 13]]"
0.2,ImADA1_SVM,ImADA1_SVM,0.9038461538461539,0.8125,0.8569568250501305,0.7647058823529411,0.7222222222222222,0.8823529411764706,0.858173076923077,"[[47  5]
 [ 3 13]]"
0.2,ImADA2_SVM,ImADA2_SVM,0.9615384615384616,0.75,0.8492077756084468,0.7999999999999999,0.8571428571428571,0.9117647058823529,0.8557692307692307,"[[50  2]
 [ 4 12]]"
0.2,ImADA_12_SVM,ImADA_12_SVM,0.9230769230769231,0.8125,0.8660254037844386,0.787878787878788,0.7647058823529411,0.8970588235294118,0.8677884615384616,"[[48  4]
 [ 3 13]]"
0.2,ImADA1_WSVM,ImADA1_WSVM,0.9038461538461539,0.8125,0.8569568250501305,0.7647058823529411,0.7222222222222222,0.8823529411764706,0.858173076923077,"[[47  5]
 [ 3 13]]"
0.2,ImADA2_WSVM,ImADA2_WSVM,0.9615384615384616,0.75,0.8492077756084468,0.7999999999999999,0.8571428571428571,0.9117647058823529,0.8557692307692307,"[[50  2]
 [ 4 12]]"
0.2,ImADA_12_WSVM,ImADA_12_WSVM,0.9230769230769231,0.8125,0.8660254037844386,0.787878787878788,0.7647058823529411,0.8970588235294118,0.8677884615384616,"[[48  4]
 [ 3 13]]"
0.2,ImADA_1_DecisionTree,ImADA_1_DecisionTree,0.9615384615384616,0.625,0.7752170911825529,0.7142857142857143,0.8333333333333334,0.8823529411764706,0.7932692307692307,"[[50  2]
 [ 6 10]]"
0.2,ImADA_2_DecisionTree,ImADA_2_DecisionTree,0.9615384615384616,0.6875,0.8130545444849886,0.7586206896551724,0.8461538461538461,0.8970588235294118,0.8245192307692308,"[[50  2]
 [ 5 11]]"
0.2,ImADA_12_DecisionTree,ImADA_12_DecisionTree,0.9615384615384616,0.625,0.7752170911825529,0.7142857142857143,0.8333333333333334,0.8823529411764706,0.7932692307692307,"[[50  2]
 [ 6 10]]"
0.2,CNN,CNN,0.9807692307692307,0.6875,0.8211448387183872,0.7857142857142857,0.9166666666666666,0.9117647058823529,0.8341346153846153,"[[51  1]
 [ 5 11]]"
0.2,own_class_center,lin_center_own,0.9423076923076923,0.75,0.8406728074767074,0.7741935483870969,0.8,0.8970588235294118,0.8461538461538461,"[[49  3]
 [ 4 12]]"
0.2,own_class_center,exp,0.9230769230769231,0.75,0.8320502943378437,0.75,0.75,0.8823529411764706,0.8365384615384616,"[[48  4]
 [ 4 12]]"
0.2,estimated_hyper_lin,lin_center_own,0.9423076923076923,0.75,0.8406728074767074,0.7741935483870969,0.8,0.8970588235294118,0.8461538461538461,"[[49  3]
 [ 4 12]]"
0.2,estimated_hyper_lin,exp,0.9423076923076923,0.75,0.8406728074767074,0.7741935483870969,0.8,0.8970588235294118,0.8461538461538461,"[[49  3]
 [ 4 12]]"
0.2,actual_hyper_lin,lin_center_own,0.9423076923076923,0.625,0.7674257668936506,0.6896551724137931,0.7692307692307693,0.8676470588235294,0.7836538461538461,"[[49  3]
 [ 6 10]]"
0.2,actual_hyper_lin,exp,0.9038461538461539,0.75,0.8233374857156787,0.7272727272727272,0.7058823529411765,0.8676470588235294,0.8269230769230769,"[[47  5]
 [ 4 12]]"
0.2,distance_center_own_opposite_tam,func_own_opp_new,0.9230769230769231,0.75,0.8320502943378437,0.75,0.75,0.8823529411764706,0.8365384615384616,"[[48  4]
 [ 4 12]]"
0.2,distance_center_own_opposite_tam,func_own_opp_new_v1,0.9423076923076923,0.75,0.8406728074767074,0.7741935483870969,0.8,0.8970588235294118,0.8461538461538461,"[[49  3]
 [ 4 12]]"
0.2,distance_center_own_opposite_tam,func_own_opp_new_v2,0.8269230769230769,0.8125,0.81967981553775,0.6842105263157896,0.5909090909090909,0.8235294117647058,0.8197115384615384,"[[43  9]
 [ 3 13]]"
