Test Size,Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan,List of err_w,List of alpha
0.2,Decision Tree,None,none,none,0.8043478260869565,0.1875,0.38834934967282275,0.21428571428571427,0.25,0.6451612903225806,0.49592391304347827,"[[37  9]
 [13  3]]",None,None
0.2,SVM (lib),None,none,none,0.8695652173913043,0.0625,0.23312620206007845,0.08695652173913043,0.14285714285714285,0.6612903225806451,0.46603260869565216,"[[40  6]
 [15  1]]",None,None
0.2,ADA_DSTree,None,none,none,0.8260869565217391,0.0625,0.22722331478659644,0.08,0.1111111111111111,0.6290322580645161,0.44429347826086957,"[[38  8]
 [15  1]]",None,None
0.2,ADA_SVM,None,none,none,0.9565217391304348,0.0625,0.24450482346091287,0.10526315789473684,0.3333333333333333,0.7258064516129032,0.5095108695652174,"[[44  2]
 [15  1]]",None,None
0.2,WSVM,10,10,0.3,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]",None,None
0.2,ADA_WSVM,10,10,0.3,0.8695652173913043,0.0625,0.23312620206007845,0.08695652173913043,0.14285714285714285,0.6612903225806451,0.46603260869565216,"[[40  6]
 [15  1]]","[0.2295081967213116, 0.41109422492401193, 0.5000000000000001, 0.5000000000000001, 0.49999999999999994, 0.49999999999999994, 0.5, 0.5000000000000001, 0.4999999999999999, 0.5]","[0.6055451360473997, 0.17972187525343317, -2.2204460492503136e-16, -2.2204460492503136e-16, 1.1102230246251564e-16, 1.1102230246251564e-16, 0.0, -2.2204460492503136e-16, 2.2204460492503126e-16, 0.0]"
0.2,ImADA_1_DecisionTree,10,10,0.3,0.8043478260869565,0.0625,0.22421360157322032,0.07692307692307693,0.1,0.6129032258064516,0.43342391304347827,"[[37  9]
 [15  1]]","[0.0005188330197399048, 0.006981536786171327, 0.2517576553319, 0.33411634850857475, 0.3754409639582797, 0.4002824161898766, 0.4168628813777663, 0.42871563482473873, 0.43761043578236897, 0.4445317194812958]","[3.7817047467555485, 2.478740097380348, 0.544629988047158, 0.34481283833664284, 0.2544723096826672, 0.20214425615098422, 0.1678325037498938, 0.14354662749975305, 0.12543284296707627, 0.11139504717603757]"
0.2,ImADA_2_DecisionTree,10,10,0.3,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]","[0.00817992475141091, 0.0027453633237499307, 0.30593863797517146, 0.527299291612449, 0.49516049992824396, 0.5008256503170896, 0.4998582036166783, 0.5000243243724242, 0.4999958264785478, 0.5000007160595743]","[2.3989293817992534, 2.947546357827618, 0.40958791107531667, -0.05465293335736283, 0.00967930241323419, -0.0016513021351004073, 0.0002835927742459606, -4.864874488669597e-05, 8.34704290462018e-06, -1.4321191485960988e-06]"
0.2,ImADA_12_DecisionTree,10,10,0.3,0.8260869565217391,0.0625,0.22722331478659644,0.08,0.1111111111111111,0.6290322580645161,0.44429347826086957,"[[38  8]
 [15  1]]","[0.0005188330197399048, 0.013914331716445991, 0.5545158098959051, 0.49000025652871637, 0.5016958577790214, 0.49970845735800645, 0.50005000373093, 0.4999914202134759, 0.5000014720438462, 0.4999997474367692]","[3.7817047467555485, 2.1304119338997536, -0.10946678003502161, 0.02000215404411703, -0.0033917285639308414, 0.0005830853500679303, -0.0001000074621933964, 1.7159573049852707e-05, -2.9440876923157406e-06, 5.051264615238568e-07]"
0.2,ImADA1_SVM,10,10,0.3,0.0,1.0,0.0,0.41025641025641024,0.25806451612903225,0.25806451612903225,0.5,"[[ 0 46]
 [ 0 16]]","[0.09287111053344296, 0.33768801031370865, 0.5840182345112644, 0.4459842353916593, 0.5356435030465245, 0.47375512755017524, 0.5224248723168728, 0.4865690760733566, 0.5223655569089954, 0.4804854823900785]","[1.1395359608114048, 0.33680715281382156, -0.16964538973908813, 0.10845476878713524, -0.07140813195396092, 0.05253803086143574, -0.044879852727261416, 0.02686831145336703, -0.04476098343787198, 0.039048870547140596]"
