Test Size,Method,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan,List of err_w,List of alpha
0.2,Decision Tree,0.86,0.46296296296296297,0.6309898162000304,0.5376344086021506,0.7207792207792207,0.6410256410256411,0.6614814814814816,"[[86 14]
 [29 25]]",None,None
0.2,SVM (lib),0.83,0.5185185185185185,0.6560261964055782,0.5656565656565656,0.7207792207792207,0.6222222222222222,0.6742592592592592,"[[83 17]
 [26 28]]",None,None
0.2,WSVM,0.79,0.5370370370370371,0.6513518705425351,0.5576923076923077,0.7012987012987013,0.58,0.6635185185185186,"[[79 21]
 [25 29]]",None,None
0.2,ADA_DSTree,0.84,0.6111111111111112,0.7164728420068226,0.6407766990291262,0.7597402597402597,0.673469387755102,0.7255555555555555,"[[84 16]
 [21 33]]",None,None
0.2,ADA_SVM,0.75,0.6666666666666666,0.7071067811865476,0.6260869565217391,0.7207792207792207,0.5901639344262295,0.7083333333333334,"[[75 25]
 [18 36]]",None,None
0.2,ADA_WSVM,0.79,0.5740740740740741,0.6734378356749186,0.5849056603773585,0.7142857142857143,0.5961538461538461,0.682037037037037,"[[79 21]
 [23 31]]","[0.21824104234527686, 0.4296486318407961, 0.4841058376021128, 0.4523343525674898, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.6379731519755126, 0.14164243344036542, 0.03179903863421041, 0.09562167193686255, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.2,ImADA1_SVM,0.76,0.7222222222222222,0.7408703590297623,0.6666666666666666,0.7467532467532467,0.6190476190476191,0.7411111111111112,"[[76 24]
 [15 39]]","[0.2693137538433438, 0.684893302704598, 0.40016089737355737, 0.49225330999850303, 0.5037660926917388, 0.49755478791864655, 0.5067540492046411, 0.4908695074122843, 0.5066951358604874, 0.49677751058890585, 0.5044694714702384, 0.4957620618200205, 0.5042023198366193, 0.49583270477813257, 0.5041328496129777, 0.4977431348870614, 0.5001401354207117, 0.4999999999999999, 0.5, 0.5]","[0.4990535423518616, -0.3881758803049076, 0.2023973736506376, 0.01549461988346657, -0.0075323278315347535, 0.004890463150132832, -0.013508920101064496, 0.018263015372806043, -0.013391072096205407, 0.0064450680610563665, -0.008939181039745963, 0.008476079339050558, -0.008404837577182678, 0.008334783440325936, -0.008265887476110545, 0.004513760880138214, -0.0002802708487619552, 2.2204460492503126e-16, 0.0, 0.0]"
0.2,ImADA2_SVM,0.79,0.5370370370370371,0.6513518705425351,0.5576923076923077,0.7012987012987013,0.58,0.6635185185185186,"[[79 21]
 [25 29]]","[0.3162792178166347, 0.4972800300193069, 0.4965020076900618, 0.49770676962868515, 0.5013144869966404, 0.4987768748781088, 0.5012078746879718, 0.4988012980856479, 0.5011905589305238, 0.49881788371412855, 0.5011741459954638, 0.4988341603144313, 0.5011579894689837, 0.49885018740304826, 0.501142079834714, 0.4988659701670126, 0.5011264123278698, 0.4988815132715929, 0.5011109823435198, 0.4988968212553543]","[0.3854620984857347, 0.0054399936236236976, 0.006996098759920777, 0.0045864929027205565, -0.002628980050027533, 0.0024462551233681365, -0.0024157540752730686, 0.0023974084217823354, -0.0023811223611551863, 0.0023642369767923133, -0.0023482963074746396, 0.0023316835967205777, -0.002315983078764606, 0.0022996292476006475, -0.0022841636418876165, 0.002268063555024618, -0.0022528284669439784, 0.0022369771881346093, -0.0022219683437577813, 0.002206361069494491]"
0.2,ImADA_12_SVM,0.79,0.6851851851851852,0.7357284120491041,0.6607142857142857,0.7532467532467533,0.6379310344827587,0.7375925925925926,"[[79 21]
 [17 37]]","[0.41834714448688226, 0.5187971941484371, 0.49844763084787924, 0.49957872637298933, 0.5000498996842284, 0.49999408638124704, 0.5000007007813608, 0.4999999169547343, 0.5000000098411725, 0.4999999988337845, 0.500000000138201, 0.49999999998362243, 0.5000000000019409, 0.4999999999997702, 0.5000000000000271, 0.499999999999997, 0.5000000000000001, 0.5, 0.5, 0.5]","[0.16478111226025993, -0.03761211452411048, 0.0031047482802373087, 0.0008425474533921034, -9.979936878813612e-05, 1.1827237506377132e-05, -1.4015627216621517e-06, 1.6609053149783022e-07, -1.9682345085907525e-08, 2.3324311316795487e-09, -2.7640201246549676e-10, 3.275513193904802e-11, -3.881783783314466e-12, 4.596323321946036e-13, -5.4178883601710574e-14, 5.995204332975809e-15, -2.2204460492503136e-16, 0.0, 0.0, 0.0]"
0.2,ImADA1_WSVM,0.76,0.7592592592592593,0.7596295393394317,0.6890756302521008,0.7597402597402597,0.6307692307692307,0.7596296296296297,"[[76 24]
 [13 41]]","[0.2693137538433438, 0.684893302704598, 0.4999999999999998, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.4990535423518616, -0.3881758803049076, 4.440892098500624e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
