Test Size,Method,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan,List of err_w,List of alpha
0.2,Decision Tree,0.8333333333333334,0.3333333333333333,0.5270462766947299,0.3582089552238806,0.7133333333333334,0.3870967741935484,0.5833333333333334,"[[95 19]
 [24 12]]",None,None
0.2,SVM (lib),1.0,0.0,0.0,0.0,0.76,0.0,0.5,"[[114   0]
 [ 36   0]]",None,None
0.2,WSVM,1.0,0.0,0.0,0.0,0.76,0.0,0.5,"[[114   0]
 [ 36   0]]",None,None
0.2,ADA_DSTree,0.9210526315789473,0.4166666666666667,0.6194932847291901,0.5,0.8,0.625,0.668859649122807,"[[105   9]
 [ 21  15]]",None,None
0.2,ADA_SVM,0.9912280701754386,0.1111111111111111,0.3318681247750609,0.19512195121951217,0.78,0.8,0.5511695906432749,"[[113   1]
 [ 32   4]]",None,None
0.2,ADA_WSVM,1.0,0.0,0.0,0.0,0.76,0.0,0.5,"[[114   0]
 [ 36   0]]","[0.2374581939799331, 0.37714665184086993, 0.5186221947945266, 0.504658528751466, 0.5000000000000001, 0.49999999999999983, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999]","[0.5833328759565628, 0.25083849306521766, -0.03726162505359576, -0.00931732711398569, -2.2204460492503136e-16, 4.440892098500624e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16]"
0.2,ImADA1_SVM,0.0,1.0,0.0,0.3870967741935484,0.24,0.24,0.5,"[[  0 114]
 [  0  36]]","[0.5990289268321306, 0.4999999999999999, 0.5000000000000002, 0.4999999999999999, 0.49999999999999994, 0.49999999999999994, 0.49999999999999994, 0.5000000000000002, 0.4999999999999999, 0.49999999999999994, 0.49999999999999994, 0.49999999999999994, 0.5000000000000002, 0.4999999999999999, 0.49999999999999994, 0.49999999999999994, 0.49999999999999994, 0.5000000000000002, 0.4999999999999999, 0.49999999999999994]","[-0.20071030042833252, 2.2204460492503126e-16, -4.440892098500628e-16, 2.2204460492503126e-16, 1.1102230246251564e-16, 1.1102230246251564e-16, 1.1102230246251564e-16, -4.440892098500628e-16, 2.2204460492503126e-16, 1.1102230246251564e-16, 1.1102230246251564e-16, 1.1102230246251564e-16, -4.440892098500628e-16, 2.2204460492503126e-16, 1.1102230246251564e-16, 1.1102230246251564e-16, 1.1102230246251564e-16, -4.440892098500628e-16, 2.2204460492503126e-16, 1.1102230246251564e-16]"
0.2,ImADA2_SVM,1.0,0.0,0.0,0.0,0.76,0.0,0.5,"[[114   0]
 [ 36   0]]","[0.41852999407165475, 0.5127775097583437, 0.49777431862858806, 0.500380873862222, 0.49993462320151527, 0.5000112160262258, 0.49999807560884413, 0.5000003301725794, 0.4999999433513194, 0.5000000097193762, 0.4999999983324187, 0.5000000002861118, 0.49999999995091104, 0.5000000000084223, 0.499999999998555, 0.5000000000002479, 0.4999999999999576, 0.5000000000000072, 0.4999999999999986, 0.5000000000000003]","[0.16440541616310178, -0.025560584676165267, 0.004451392143875673, -0.0007617478717811041, 0.0001307535977146276, -2.2432052455296733e-05, 3.848782311731318e-06, -6.603451587915538e-07, 1.1329736120179746e-07, -1.9438752374812536e-08, 3.335162579422028e-09, -5.722236021631706e-10, 9.817791023638339e-11, -1.684452577450154e-11, 2.8901325776958545e-12, -4.958256027978408e-13, 8.482103908135477e-14, -1.4432899320127243e-14, 2.7755575615628835e-15, -6.661338147750944e-16]"
0.2,ImADA_12_SVM,0.0,1.0,0.0,0.3870967741935484,0.24,0.24,0.5,"[[  0 114]
 [  0  36]]","[0.839222198482607, 0.39552735794856136, 0.5160042550603406, 0.4972014540153455, 0.5004785863467262, 0.4999178414936921, 0.5000140948144852, 0.4999975816722186, 0.5000004149182751, 0.49999992881124367, 0.5000000122140587, 0.4999999979043989, 0.5000000003595482, 0.49999999993831135, 0.5000000000105842, 0.499999999998184, 0.5000000000003116, 0.4999999999999464, 0.5000000000000092, 0.499999999999998]","[-0.8262261058697536, 0.21206822699731637, -0.0320194482287655, 0.00559715041792581, -0.0009571729857664592, 0.0001643170140946427, -2.8189628977887176e-05, 4.836655562809146e-06, -8.298365501549478e-07, 1.4237751271426888e-07, -2.44281172928509e-08, 4.191202145540136e-09, -7.190963385481218e-10, 1.233773083545323e-10, -2.1168400366371037e-11, 3.631983602745546e-12, -6.232792060249513e-13, 1.0724754417877862e-13, -1.842970220877794e-14, 3.996802888650548e-15]"
0.2,ImADA1_WSVM,0.0,1.0,0.0,0.3870967741935484,0.24,0.24,0.5,"[[  0 114]
 [  0  36]]","[0.5990289268321306, 0.4999999999999999, 0.5000000000000002, 0.4999999999999999, 0.49999999999999994, 0.49999999999999994, 0.49999999999999994, 0.5000000000000002, 0.4999999999999999, 0.49999999999999994, 0.49999999999999994, 0.49999999999999994, 0.5000000000000002, 0.4999999999999999, 0.49999999999999994, 0.49999999999999994, 0.49999999999999994, 0.5000000000000002, 0.4999999999999999, 0.49999999999999994]","[-0.20071030042833252, 2.2204460492503126e-16, -4.440892098500628e-16, 2.2204460492503126e-16, 1.1102230246251564e-16, 1.1102230246251564e-16, 1.1102230246251564e-16, -4.440892098500628e-16, 2.2204460492503126e-16, 1.1102230246251564e-16, 1.1102230246251564e-16, 1.1102230246251564e-16, -4.440892098500628e-16, 2.2204460492503126e-16, 1.1102230246251564e-16, 1.1102230246251564e-16, 1.1102230246251564e-16, -4.440892098500628e-16, 2.2204460492503126e-16, 1.1102230246251564e-16]"
0.2,ImADA2_WSVM,1.0,0.0,0.0,0.0,0.76,0.0,0.5,"[[114   0]
 [ 36   0]]","[0.41852999407165475, 0.5127775097583437, 0.49777431862858806, 0.500380873862222, 0.49993462320151527, 0.5000112160262258, 0.49999807560884413, 0.5000003301725794, 0.4999999433513194, 0.5000000097193762, 0.4999999983324187, 0.5000000002861118, 0.49999999995091104, 0.5000000000084223, 0.499999999998555, 0.5000000000002479, 0.4999999999999576, 0.5000000000000072, 0.4999999999999986, 0.5000000000000003]","[0.16440541616310178, -0.025560584676165267, 0.004451392143875673, -0.0007617478717811041, 0.0001307535977146276, -2.2432052455296733e-05, 3.848782311731318e-06, -6.603451587915538e-07, 1.1329736120179746e-07, -1.9438752374812536e-08, 3.335162579422028e-09, -5.722236021631706e-10, 9.817791023638339e-11, -1.684452577450154e-11, 2.8901325776958545e-12, -4.958256027978408e-13, 8.482103908135477e-14, -1.4432899320127243e-14, 2.7755575615628835e-15, -6.661338147750944e-16]"
0.2,ImADA_12_WSVM,0.0,1.0,0.0,0.3870967741935484,0.24,0.24,0.5,"[[  0 114]
 [  0  36]]","[0.839222198482607, 0.39552735794856136, 0.5160042550603406, 0.4972014540153455, 0.5004785863467262, 0.4999178414936921, 0.5000140948144852, 0.4999975816722186, 0.5000004149182751, 0.49999992881124367, 0.5000000122140587, 0.4999999979043989, 0.5000000003595482, 0.49999999993831135, 0.5000000000105842, 0.499999999998184, 0.5000000000003116, 0.4999999999999464, 0.5000000000000092, 0.499999999999998]","[-0.8262261058697536, 0.21206822699731637, -0.0320194482287655, 0.00559715041792581, -0.0009571729857664592, 0.0001643170140946427, -2.8189628977887176e-05, 4.836655562809146e-06, -8.298365501549478e-07, 1.4237751271426888e-07, -2.44281172928509e-08, 4.191202145540136e-09, -7.190963385481218e-10, 1.233773083545323e-10, -2.1168400366371037e-11, 3.631983602745546e-12, -6.232792060249513e-13, 1.0724754417877862e-13, -1.842970220877794e-14, 3.996802888650548e-15]"
0.3,Decision Tree,0.7894736842105263,0.37037037037037035,0.5407380704358751,0.36363636363636365,0.6888888888888889,0.35714285714285715,0.5799220272904483,"[[135  36]
 [ 34  20]]",None,None
